age,job,marital,education,default,housing,loan,contact,month,day_of_week,mean,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
55,8,1,6,2,1,1,1,3,0,145,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
25,5,0,5,0,1,0,1,3,0,174,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
47,10,1,5,2,0,0,1,3,0,449,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,4,1,3,0,1,0,1,3,0,812,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,2,2,1,0,1,3,0,164,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,2,2,0,0,1,3,0,366,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
48,3,1,4,0,0,0,1,3,0,357,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,3,1,5,0,0,0,1,3,0,232,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,4,0,3,0,1,0,1,3,0,91,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,3,1,7,0,1,0,1,3,0,273,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,3,1,3,0,1,0,1,3,0,158,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,4,0,1,2,1,1,1,3,0,177,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,7,1,2,0,0,0,1,3,0,200,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,7,3,5,0,1,0,1,3,0,172,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
47,3,1,5,2,1,0,1,3,0,176,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,12,1,7,2,0,0,1,3,0,211,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,3,1,5,2,1,0,1,3,0,214,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,4,3,1,2,1,0,1,3,0,1575,1,28,0,2,1.1,93.994,-36.4,4.857,5191,1
55,5,1,5,0,0,0,1,3,0,349,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,2,1,4,2,1,0,1,3,0,337,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,7,1,7,2,1,0,1,3,0,272,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,3,2,0,0,1,3,0,208,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
50,4,1,1,2,1,0,1,3,0,193,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,4,1,1,2,2,2,1,3,0,212,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
38,3,1,4,2,0,0,1,3,0,165,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
49,10,1,5,2,1,0,1,3,0,1042,1,28,0,2,1.1,93.994,-36.4,4.857,5191,1
38,5,0,5,0,0,1,1,3,0,20,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
31,3,3,4,0,0,0,1,3,0,246,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,7,1,2,0,0,0,1,3,0,529,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,3,1,5,0,1,1,1,3,0,192,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
49,5,1,3,0,0,0,1,3,0,1467,1,28,0,2,1.1,93.994,-36.4,4.857,5191,1
34,3,1,4,0,1,0,1,3,0,188,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,3,1,5,0,1,0,1,3,0,180,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,12,1,7,2,1,0,1,3,0,48,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
60,3,1,7,2,0,1,1,3,0,213,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,8,1,3,0,0,0,1,3,0,545,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,2,0,0,1,1,3,0,583,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,2,1,6,0,1,0,1,3,0,221,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,7,1,5,0,0,0,1,3,0,426,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
53,3,3,5,2,0,0,1,3,0,287,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,5,0,6,0,0,0,1,3,0,197,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,4,1,2,0,0,0,1,3,0,257,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,2,1,7,0,1,0,1,3,0,229,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
49,4,1,1,0,0,0,1,3,0,55,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,2,1,7,0,0,0,1,3,0,400,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
52,3,3,5,0,0,0,1,3,0,197,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
52,3,3,5,0,0,0,1,3,0,190,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,2,0,4,2,0,0,1,3,0,21,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,1,1,2,0,1,0,1,3,0,300,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,3,1,4,0,1,0,1,3,0,123,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,10,1,7,2,1,0,1,3,0,293,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,5,1,7,2,1,1,1,3,0,325,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
60,6,3,5,2,0,0,1,3,0,514,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
58,8,1,1,2,0,0,1,3,0,849,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,2,3,4,0,1,0,1,3,0,194,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,4,1,3,2,1,0,1,3,0,212,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,7,1,5,0,0,0,1,3,0,337,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,4,1,4,0,0,0,1,3,0,286,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
52,3,3,5,0,0,0,1,3,0,247,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,4,3,7,2,1,0,1,3,0,518,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,3,1,7,0,1,0,1,3,0,364,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
48,4,3,1,2,1,0,1,3,0,178,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,4,1,4,2,1,0,1,3,0,98,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
49,4,3,4,0,0,0,1,3,0,439,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,2,1,4,0,0,0,1,3,0,139,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,5,1,4,0,1,0,1,3,0,79,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
32,3,1,5,0,1,1,1,3,0,175,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,3,1,5,0,0,1,1,3,0,262,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
50,3,1,2,0,0,0,1,3,0,61,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
31,5,3,6,0,1,1,1,3,0,78,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,6,1,1,0,1,0,1,3,0,102,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,5,1,6,2,1,0,1,3,0,579,1,28,0,2,1.1,93.994,-36.4,4.857,5191,1
37,4,1,2,0,1,1,1,3,0,143,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,5,1,6,2,0,0,1,3,0,677,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,4,1,7,0,1,0,1,3,0,267,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,4,1,2,0,1,0,1,3,0,345,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
52,7,1,5,0,0,0,1,3,0,185,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,7,3,5,0,0,0,1,3,0,207,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,1,1,1,2,0,0,1,3,0,69,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,4,1,1,2,0,0,1,3,0,100,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,2,1,4,0,1,0,1,3,0,125,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,4,1,3,2,1,0,1,3,0,461,1,28,0,2,1.1,93.994,-36.4,4.857,5191,1
43,8,0,5,0,1,0,1,3,0,240,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,7,1,7,0,1,0,1,3,0,70,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,7,1,5,0,1,0,1,3,0,193,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
53,4,1,1,0,1,0,1,3,0,136,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
38,12,3,4,2,1,0,1,3,0,73,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,1,2,1,0,1,3,0,528,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,1,2,0,0,1,3,0,541,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,3,0,4,0,1,0,1,3,0,338,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,3,1,5,2,1,0,1,3,0,163,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,4,1,1,0,1,0,1,3,0,87,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
60,4,1,3,2,0,0,1,3,0,301,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,10,1,7,2,1,0,1,3,0,46,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,2,3,4,2,1,0,1,3,0,52,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,10,1,7,2,0,0,1,3,0,204,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,4,1,7,0,1,1,1,3,0,155,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,4,1,3,0,1,1,1,3,0,98,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,4,1,7,2,1,0,1,3,0,71,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,4,1,7,2,0,0,1,3,0,243,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,5,0,6,0,1,0,1,3,0,186,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
59,2,1,4,0,0,0,1,3,0,579,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
24,7,0,5,0,1,0,1,3,0,165,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,4,0,3,2,1,1,1,3,0,163,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,4,1,3,2,0,0,1,3,0,46,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,3,2,0,0,1,3,0,559,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,2,3,4,2,0,0,1,3,0,2033,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,10,1,2,0,0,0,1,3,0,85,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
38,2,1,4,0,1,1,1,3,0,506,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,3,3,7,2,0,0,1,3,0,114,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,4,1,7,0,0,0,1,3,0,114,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,7,3,5,0,1,0,1,3,0,843,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,4,1,4,2,0,1,1,3,0,181,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,2,1,4,2,0,0,1,3,0,427,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,5,1,5,0,1,1,1,3,0,292,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,3,0,5,2,0,0,1,3,0,192,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,2,1,4,0,0,0,1,3,0,93,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
46,7,1,3,0,0,0,1,3,0,128,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,2,1,4,0,1,1,1,3,0,107,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,3,0,2,0,0,0,1,3,0,303,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
28,2,1,4,0,1,0,1,3,0,81,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,4,1,3,0,0,0,1,3,0,270,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,5,1,4,0,0,0,1,3,0,228,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
46,4,1,2,2,1,0,1,3,0,240,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,4,1,3,0,1,1,1,3,0,673,2,28,0,2,1.1,93.994,-36.4,4.857,5191,1
36,3,1,5,0,1,0,1,3,0,233,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,4,1,1,2,0,0,1,3,0,102,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,7,1,5,0,0,0,1,3,0,461,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,5,1,2,2,0,0,1,3,0,250,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,6,1,4,2,0,0,1,3,0,130,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
49,4,1,1,2,0,0,1,3,0,252,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,3,1,5,0,1,0,1,3,0,138,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,5,1,6,0,0,0,1,3,0,412,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
38,4,0,3,0,1,0,1,3,0,179,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,7,3,5,0,0,0,1,3,0,19,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,5,1,5,0,0,0,1,3,0,228,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,4,0,3,2,1,0,1,3,0,55,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
48,4,1,1,0,1,0,1,3,0,717,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,3,1,4,2,1,0,1,3,0,313,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,4,0,3,2,0,0,1,3,0,289,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,3,1,3,2,1,0,1,3,0,683,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,4,1,2,0,1,0,1,3,0,1077,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,2,1,4,0,0,0,1,3,0,146,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
32,2,0,2,0,0,0,1,3,0,167,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,4,1,4,0,1,0,1,3,0,356,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,3,1,7,0,0,0,1,3,0,277,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,4,1,3,0,1,0,1,3,0,172,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,11,0,5,2,0,0,1,3,0,218,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,11,0,5,2,1,1,1,3,0,217,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,8,1,6,0,0,0,1,3,0,67,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,2,0,1,0,0,0,1,3,0,291,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,11,0,5,2,1,0,1,3,0,248,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,11,0,3,0,1,0,1,3,0,256,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,1,3,5,0,0,0,1,3,0,286,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
59,3,1,5,0,0,0,1,3,0,477,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,6,1,7,2,0,0,1,3,0,611,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,4,1,6,2,1,0,1,3,0,471,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,1,1,1,2,1,0,1,3,0,381,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
30,4,0,7,0,1,0,1,3,0,251,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
30,4,0,7,0,1,1,1,3,0,408,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
50,1,1,1,2,0,0,1,3,0,287,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,2,1,4,0,0,0,1,3,0,322,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,3,1,4,0,1,0,1,3,0,216,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,5,1,7,2,0,0,1,3,0,366,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,2,0,2,2,1,0,1,3,0,210,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
46,5,1,1,2,1,0,1,3,0,288,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,5,1,3,0,0,0,1,3,0,168,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
58,6,1,5,0,0,0,1,3,0,132,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,5,1,5,0,0,0,1,3,0,64,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,3,0,5,0,0,0,1,3,0,209,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,6,1,1,2,0,0,1,3,0,410,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,4,1,1,0,1,1,1,3,0,177,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,3,1,6,0,1,0,1,3,0,580,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
50,2,3,6,0,1,0,1,3,0,165,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
32,7,3,1,2,1,0,1,3,0,127,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,3,1,4,2,0,0,1,3,0,357,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
52,9,1,5,2,0,0,1,3,0,175,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,3,1,6,0,1,0,1,3,0,300,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,4,1,1,0,0,0,1,3,0,136,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
48,3,1,4,0,0,0,1,3,0,125,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,2,1,4,2,0,1,1,3,0,189,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,7,1,5,2,0,1,1,3,0,213,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,6,1,4,0,0,0,1,3,0,238,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,5,0,6,0,0,0,1,3,0,124,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,7,1,5,0,1,0,1,3,0,18,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,2,0,3,0,0,0,1,3,0,730,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
30,5,1,5,2,0,0,1,3,0,40,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,2,3,7,0,0,0,1,3,0,181,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
32,5,0,6,0,0,0,1,3,0,79,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,5,0,4,0,1,0,1,3,0,142,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,4,0,4,0,0,1,1,3,0,389,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,2,0,4,0,0,0,1,3,0,702,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,5,3,6,0,0,0,1,3,0,151,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,4,1,1,0,1,0,1,3,0,211,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
51,2,1,2,0,1,0,1,3,0,117,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
36,5,1,6,0,1,0,1,3,0,232,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
28,2,1,7,0,0,0,1,3,0,408,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
53,2,1,4,0,1,1,1,3,0,370,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
58,4,1,3,2,1,0,1,3,0,179,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,7,1,3,0,0,1,1,3,0,46,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,5,1,7,0,1,0,1,3,0,200,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,3,1,4,0,0,1,1,3,0,50,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
33,3,1,4,0,0,1,1,3,0,181,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
27,4,0,2,0,2,2,1,3,0,119,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,5,1,4,0,0,0,1,3,0,361,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
43,3,3,3,0,0,0,1,3,0,73,3,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,3,1,5,0,0,0,1,3,0,67,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
